learning algorithm,epoch,mean accuracy
nesterovs,65,0.7172437553832902
nesterovs,66,0.6576571920757968
nesterovs,67,0.8126959517657191
nesterovs,68,0.7796554694229114
nesterovs,69,0.8249095607235142
nesterovs,70,0.8235658914728682
nesterovs,71,0.75130060292851
nesterovs,72,0.7576571920757967
nesterovs,73,0.7636864771748492
nesterovs,74,0.7952110249784667
nesterovs,75,0.6824633936261842
nesterovs,76,0.756244616709733
nesterovs,77,0.7515762273901808
nesterovs,78,0.7762962962962964
nesterovs,79,0.8174504737295435
nesterovs,80,0.7421188630490956
nesterovs,81,0.8061326442721791
nesterovs,82,0.8119207579672695
nesterovs,83,0.7180706287683033
nesterovs,84,0.7659086993970715
nesterovs,85,0.7966925064599483
nesterovs,86,0.7764513350559863
nesterovs,87,0.7134539190353143
nesterovs,88,0.7113006029285099
